epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,7248.7,0.77775,0.57983,1.07796,0.77044,0.76976,0.7635,0.56191,0.92458,0.83849,1.07259,0.0046045,0.0046045,0.0046045
111,7318.97,0.77624,0.57162,1.07447,0.77452,0.76484,0.7636,0.56329,0.92347,0.83812,1.07568,0.004555,0.004555,0.004555
112,7388.86,0.77621,0.57297,1.07023,0.78013,0.75936,0.76191,0.56217,0.92568,0.84118,1.07758,0.0045055,0.0045055,0.0045055
113,7458.08,0.77407,0.57262,1.07086,0.7839,0.75993,0.75972,0.56089,0.9256,0.83949,1.07775,0.004456,0.004456,0.004456
114,7526.24,0.77605,0.56847,1.07337,0.7833,0.76166,0.76209,0.56126,0.92431,0.83888,1.07447,0.0044065,0.0044065,0.0044065
115,7594.31,0.77034,0.56592,1.06793,0.78042,0.76463,0.76221,0.56252,0.92418,0.83477,1.0729,0.004357,0.004357,0.004357
116,7662.54,0.77312,0.5652,1.06996,0.78366,0.76396,0.76206,0.56125,0.92595,0.83616,1.07642,0.0043075,0.0043075,0.0043075
117,7730.74,0.77245,0.56525,1.07155,0.78109,0.7673,0.75995,0.55996,0.92596,0.83597,1.07391,0.004258,0.004258,0.004258
118,7800.5,0.77482,0.57548,1.07476,0.78037,0.76291,0.75746,0.55772,0.9307,0.84368,1.07771,0.0042085,0.0042085,0.0042085
119,7873.99,0.76872,0.5675,1.06824,0.78318,0.75957,0.75619,0.55637,0.93203,0.84488,1.07946,0.004159,0.004159,0.004159
120,7945.08,0.76578,0.55846,1.07137,0.78066,0.76051,0.75995,0.55751,0.93652,0.844,1.08236,0.0041095,0.0041095,0.0041095
121,8018.95,0.76698,0.55725,1.07037,0.78128,0.76103,0.76061,0.55806,0.93621,0.84373,1.08385,0.00406,0.00406,0.00406
122,8092.68,0.76223,0.55607,1.06438,0.78429,0.75865,0.7626,0.56102,0.93546,0.84553,1.08338,0.0040105,0.0040105,0.0040105
123,8164.14,0.76353,0.55517,1.06681,0.77386,0.7673,0.76281,0.56052,0.93588,0.8495,1.08357,0.003961,0.003961,0.003961
124,8234.93,0.76006,0.55025,1.06496,0.77231,0.77002,0.7644,0.56166,0.93358,0.84994,1.08204,0.0039115,0.0039115,0.0039115
125,8306.65,0.75691,0.54992,1.06124,0.77044,0.76973,0.76393,0.56153,0.93311,0.85061,1.08198,0.003862,0.003862,0.003862
126,8374.86,0.7566,0.54941,1.06532,0.77047,0.77232,0.76456,0.56249,0.93227,0.84941,1.08094,0.0038125,0.0038125,0.0038125
127,8443.74,0.75694,0.54193,1.05882,0.771,0.77441,0.76366,0.56245,0.9326,0.85093,1.08155,0.003763,0.003763,0.003763
128,8514.45,0.75353,0.54747,1.06116,0.76807,0.77629,0.76207,0.56006,0.93157,0.84984,1.08076,0.0037135,0.0037135,0.0037135
